0.500000 0.500000 0.262643 0.029295 0.001430 
0.333333 0.500000 0.265742 0.029026 0.001679 
0.250000 0.500000 0.259505 0.029809 0.001896 
0.200000 0.500000 0.265497 0.044298 0.002101 
0.500000 0.600000 0.265363 0.030388 0.001493 
0.333333 0.600000 0.263979 0.028608 0.001589 
0.250000 0.600000 0.253840 0.028976 0.001825 
0.200000 0.600000 0.258549 0.046047 0.002084 
0.500000 0.700000 0.289493 0.034150 0.002058 
0.333333 0.700000 0.285823 0.031823 0.002118 
0.250000 0.700000 0.283992 0.029554 0.002005 
0.200000 0.700000 0.300908 0.049451 0.002448 
0.500000 0.800000 0.284396 0.033578 0.002123 
0.333333 0.800000 0.283730 0.031451 0.002247 
0.250000 0.800000 0.275206 0.029068 0.002161 
0.200000 0.800000 0.294737 0.051164 0.002768 
0.500000 0.900000 0.273350 0.052442 0.003190 
0.333333 0.900000 0.272235 0.053202 0.003585 
0.250000 0.900000 0.269501 0.060299 0.004466 
0.200000 0.900000 0.261291 0.059517 0.004157 
