9,6,1
13,6,1
21,6,1
30,1,1
43,2,1
21,4,0
55,1,0
23,6,0
26,6,1
30,6,1
33,1,1
46,3,1
33,3,0
35,1,1
54,4,1
70,3,0
45,4,1
56,2,0
57,1,1
55,4,0
47,4,0
37,4,1
35,4,1
47,1,1
36,5,0
32,6,1
24,4,1
36,2,1
49,1,1
23,4,1
20,5,1
23,6,1
27,6,1
28,3,1
34,3,0
93,1,1
83,1,1
66,1,0
68,4,1
46,3,0
53,4,1
126,5,0
102,5,0
47,6,1
76,6,1
84,4,0
37,6,1
40,6,0
60,6,0
69,3,0
38,2,1
91,1,0
56,5,0
84,5,0
87,1,0
14,6,0
29,5,1
29,2,1
50,2,1
39,3,0
57,4,1
14,6,1
36,6,1
41,5,1
40,3,1
53,3,1
70,5,1
35,2,1
37,3,1
33,5,1
37,5,1
53,1,1
36,5,1
44,5,1
33,2,1
39,4,0
48,1,0
61,2,1
84,4,0
41,2,0
89,2,0
91,2,0
115,2,0
65,4,0
41,6,0
40,5,1
52,4,0
65,3,0
77,2,1
43,3,1
72,1,1
45,5,0
33,4,1
47,2,0
53,3,1
34,3,1
33,3,1
50,5,1
32,2,0
