0.500000 0.500000 0.717172 0.723906 0.696970 
0.333333 0.500000 0.707071 0.722222 0.686869 
0.250000 0.500000 0.703704 0.708193 0.681257 
0.200000 0.500000 0.734848 0.743266 0.709596 
0.500000 0.600000 0.676768 0.676768 0.656566 
0.333333 0.600000 0.666667 0.691919 0.686869 
0.250000 0.600000 0.694725 0.690236 0.676768 
0.200000 0.600000 0.705387 0.713805 0.680135 
0.500000 0.700000 0.622896 0.649832 0.643098 
0.333333 0.700000 0.646465 0.666667 0.661616 
0.250000 0.700000 0.649832 0.658810 0.658810 
0.200000 0.700000 0.650673 0.659091 0.667508 
0.500000 0.800000 0.589226 0.589226 0.582492 
0.333333 0.800000 0.595960 0.611111 0.601010 
0.250000 0.800000 0.600449 0.618406 0.604938 
0.200000 0.800000 0.617003 0.608586 0.608586 
0.500000 0.900000 0.589226 0.515152 0.528620 
0.333333 0.900000 0.540404 0.520202 0.545455 
0.250000 0.900000 0.551066 0.519641 0.519641 
0.200000 0.900000 0.524411 0.537037 0.545455 
